Date,Day of Week,Sales
2011-05-17,Tuesday,335.7
2012-03-03,Saturday,1089.4
2008-07-02,Wednesday,920.0
2010-10-23,Saturday,183.85
2009-10-06,Tuesday,611.5
2012-03-02,Friday,782.05
2010-10-24,Sunday,8.75
2009-10-01,Thursday,649.75
2008-09-17,Wednesday,487.0
2010-10-15,Friday,769.9
2008-02-12,Tuesday,585.0
2012-01-24,Tuesday,213.5
2009-09-30,Wednesday,643.0
2008-09-16,Tuesday,345.0
2010-10-16,Saturday,664.65
2009-10-03,Saturday,711.75
2012-01-25,Wednesday,324.35
2008-02-24,Sunday,268.7
2010-10-17,Sunday,334.7
2009-10-02,Friday,1220.5
2011-09-01,Thursday,1168.15
2010-10-18,Monday,331.0
2008-02-23,Saturday,329.45
2009-07-20,Monday,607.25
2011-09-02,Friday,1129.7
2010-10-19,Tuesday,380.06
2008-02-26,Tuesday,401.15
2009-07-21,Tuesday,753.0
2010-10-20,Wednesday,424.87
2012-03-08,Thursday,721.35
2008-02-11,Monday,592.0
2011-08-24,Wednesday,624.6
2010-10-21,Thursday,308.9
2009-07-12,Sunday,1298.75
2008-02-28,Thursday,561.45
2009-07-13,Monday,986.5
2008-02-27,Wednesday,573.9
2010-10-22,Friday,264.05
2011-08-25,Thursday,931.4
2009-07-14,Tuesday,857.75
2010-04-22,Thursday,740.15
2008-03-01,Saturday,684.5
2011-08-26,Friday,1135.85
2009-07-15,Wednesday,732.5
2010-04-23,Friday,878.95
2008-02-29,Friday,727.2
2011-08-27,Saturday,1271.55
2009-07-16,Thursday,744.5
2008-03-03,Monday,455.0
2010-04-24,Saturday,1325.85
2009-07-17,Friday,849.75
2011-08-28,Sunday,1416.2
2008-03-02,Sunday,739.65
2010-04-25,Sunday,1311.9
2011-08-29,Monday,865.5
2009-07-18,Saturday,1312.25
2008-09-24,Wednesday,593.65
2010-04-18,Sunday,1384.8
2011-08-30,Tuesday,718.35
2009-07-19,Sunday,1373.2
2010-04-19,Monday,377.25
2008-09-14,Sunday,648.9
2011-08-31,Wednesday,864.35
2010-03-01,Monday,311.85
2010-04-20,Tuesday,371.25
2008-09-22,Monday,583.25
2011-11-12,Saturday,705.85
2010-03-02,Tuesday,429.1
2010-08-24,Tuesday,1298.3
2008-08-06,Wednesday,823.0
2011-11-13,Sunday,552.9
2009-12-09,Wednesday,357.0
2010-08-23,Monday,1282.35
2008-09-20,Saturday,974.0
2011-11-14,Monday,395.65
2009-12-08,Tuesday,190.45
2010-08-22,Sunday,922.45
2011-11-15,Tuesday,400.75
2009-12-03,Thursday,370.85
2008-09-21,Sunday,1087.25
2009-12-02,Wednesday,362.25
2010-08-21,Saturday,1185.9
2011-11-16,Wednesday,615.3
2009-12-01,Tuesday,319.6
2008-08-07,Thursday,673.25
2010-08-20,Friday,1102.9
2009-11-30,Monday,352.0
2011-11-17,Thursday,285.5
2008-08-05,Tuesday,708.75
2010-08-19,Thursday,597.8
2009-12-07,Monday,189.1
2008-11-02,Sunday,474.5
2011-11-18,Friday,471.75
2010-08-18,Wednesday,888.9
2009-12-06,Sunday,175.7
2008-08-04,Monday,588.0
2011-11-19,Saturday,685.0
2010-08-17,Tuesday,685.9
2009-12-05,Saturday,594.35
2008-09-19,Friday,787.25
2011-11-20,Sunday,303.7
2010-08-16,Monday,697.65
2009-12-04,Friday,687.8
2011-11-21,Monday,452.0
2008-08-03,Sunday,1055.75
2009-03-04,Wednesday,460.65
2011-12-04,Sunday,532.45
2011-02-23,Wednesday,341.95
2011-12-03,Saturday,699.35
2009-03-05,Thursday,288.5
2011-02-22,Tuesday,462.9
2008-09-18,Thursday,534.6
2011-12-10,Saturday,516.1
2009-03-06,Friday,593.74
2011-02-17,Thursday,282.7
2008-07-11,Friday,1014.95
2011-12-09,Friday,487.0
2009-03-07,Saturday,929.25
2011-01-14,Friday,811.4
2008-07-10,Thursday,876.25
2011-12-08,Thursday,343.75
2009-03-08,Sunday,827.5
2011-06-16,Thursday,661.65
2011-12-07,Wednesday,398.25
2009-03-09,Monday,500.25
2011-06-17,Friday,674.55
2007-07-27,Friday,887.0
2011-11-11,Friday,252.35
2009-03-10,Tuesday,418.0
2007-07-26,Thursday,685.0
2011-06-14,Tuesday,839.25
2011-11-10,Thursday,511.7
2009-03-11,Wednesday,679.05
2007-07-25,Wednesday,714.25
2011-06-15,Wednesday,1010.75
2011-11-09,Wednesday,374.35
2009-03-12,Thursday,583.0
2007-07-24,Tuesday,844.25
2011-06-21,Tuesday,688.4
2011-11-08,Tuesday,309.9
2009-03-13,Friday,1216.3
2007-07-31,Tuesday,666.75
2011-06-22,Wednesday,522.95
2011-11-07,Monday,152.25
2010-01-22,Friday,437.8
2007-07-30,Monday,580.25
2011-06-18,Saturday,798.55
2010-01-23,Saturday,743.45
2011-11-06,Sunday,357.85
2011-06-20,Monday,931.2
2007-07-29,Sunday,1322.0
2011-11-05,Saturday,493.35
2010-01-24,Sunday,358.4
2011-06-23,Thursday,760.85
2007-07-28,Saturday,1118.0
2011-11-04,Friday,547.0
2010-01-25,Monday,248.15
2011-06-24,Friday,1014.05
2007-08-02,Thursday,749.0
2010-01-18,Monday,395.2
2011-11-03,Thursday,309.5
2010-12-26,Sunday,451.15
2007-08-01,Wednesday,768.0
2011-11-02,Wednesday,648.5
2010-01-19,Tuesday,199.5
2010-12-25,Saturday,
2011-08-21,Sunday,938.55
2007-12-01,Saturday,517.85
2010-01-20,Wednesday,320.6
2010-12-28,Tuesday,198.75
2011-08-20,Saturday,1034.9
2007-11-30,Friday,436.19
2010-01-21,Thursday,255.2
2010-12-27,Monday,378.3
2011-08-19,Friday,756.75
2008-12-01,Monday,252.75
2007-11-29,Thursday,248.2
2010-12-30,Thursday,347.3
2007-11-28,Wednesday,231.25
2011-08-18,Thursday,833.9
2008-11-30,Sunday,460.87
2010-12-29,Wednesday,322.85
2011-08-17,Wednesday,929.45
2011-01-02,Sunday,312.45
2008-11-29,Saturday,787.0
2007-11-27,Tuesday,240.5
2011-08-16,Tuesday,653.0
2008-11-28,Friday,575.75
2010-12-31,Friday,148.95
2011-08-15,Monday,939.85
2007-11-26,Monday,251.75
2011-01-04,Tuesday,312.5
2011-08-14,Sunday,1317.35
2008-11-26,Wednesday,735.25
2011-01-03,Monday,322.8
2007-11-25,Sunday,319.75
2012-01-30,Monday,369.95
2008-11-25,Tuesday,693.4
2007-11-24,Saturday,610.75
2011-04-07,Thursday,573.55
2012-01-31,Tuesday,192.25
2008-11-24,Monday,409.0
2007-11-23,Friday,483.5
2011-04-08,Friday,657.9
2008-11-23,Sunday,647.75
2012-01-28,Saturday,901.15
2007-11-21,Wednesday,682.0
2011-04-09,Saturday,1061.45
2012-01-29,Sunday,768.9
2008-12-03,Wednesday,384.25
2008-08-01,Friday,1077.5
2011-04-10,Sunday,627.65
2008-12-02,Tuesday,486.75
2012-01-26,Thursday,308.35
2008-06-06,Friday,1274.15
2011-04-11,Monday,409.75
2012-01-27,Friday,764.55
2011-04-12,Tuesday,459.05
2009-08-03,Monday,974.5
2008-06-07,Saturday,1358.25
2011-08-23,Tuesday,1147.85
2010-07-21,Wednesday,431.35
2009-08-04,Tuesday,887.25
2010-07-22,Thursday,525.2
2008-06-08,Sunday,1252.5
2009-08-01,Saturday,1310.75
2011-08-22,Monday,755.0
2008-06-09,Monday,886.0
2010-07-23,Friday,848.05
2012-03-26,Monday,369.95
2009-08-02,Sunday,1295.75
2008-06-02,Monday,752.75
2012-03-19,Monday,335.15
2010-07-24,Saturday,1049.7
2009-08-07,Friday,1122.75
2008-06-03,Tuesday,782.95
2010-07-17,Saturday,771.5
2009-08-08,Saturday,1232.75
2008-06-04,Wednesday,901.25
2010-07-18,Sunday,1058.7
2009-08-05,Wednesday,713.25
